threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.09334144116752813,0.15205567379480422,0.0
0.02,0.08525015357313494,0.14340318067026142,0.0
0.03,0.08064682963831328,0.13457228562562493,0.0
0.04,0.07650501672240803,0.12555741360089187,0.0
0.05,0.06565745467347299,0.11635275479669072,0.0
0.060000000000000005,0.06503949334661639,0.10695225218814489,0.0
0.06999999999999999,0.06426439385766175,0.09734958823317871,0.0
0.08,0.0597644321651883,0.08753817071397413,0.0
0.09,0.055643353302216175,0.07751111764489692,0.0
0.09999999999999999,0.05536975102192493,0.06726124117428466,0.0
0.11,0.04779978204501898,0.05678103040096201,0.0
0.12,0.047430830039525695,0.04606263301915477,0.0
0.13,0.0462076653980702,0.03509783569753583,0.0
0.14,0.04604495605506728,0.023878043089367668,0.0
0.15000000000000002,0.04210112138500885,0.012394255361007245,0.0
0.16,0.04093008440834527,0.0006370441153049633,0.0
0.17,0.039730829673207874,-0.011403473425474486,0.0
0.18000000000000002,0.03589199771596378,-0.023737662125785153,0.0
0.19,0.03290804740080103,-0.03637639869523926,0.0
0.2,0.03260869565217392,-0.04933110367892976,0.0
0.21000000000000002,0.032386435798653745,-0.06261377587739725,0.0
0.22,0.027956435983191835,-0.07623702941428692,0.0
0.23,0.020153759284194068,-0.09021413369239456,0.0
0.24000000000000002,0.019010737546206653,-0.1045590565041366,0.0
0.25,0.020066889632107024,-0.11928651059085837,0.0
0.26,0.021332369158456117,-0.13441200397722136,0.0
0.27,0.020341778531176982,-0.14995189444266277,0.0
0.28,0.020624303232998884,-0.16592344853214425,0.0
0.29000000000000004,0.02100899712657214,-0.18234490555372374,0.0
0.3,0.020066889632107024,-0.19923554706163404,0.0
0.31,0.01909747467403422,-0.21661577238136787,0.0
0.32,0.01809954751131222,-0.23450718079874094,0.0
0.33,0.017071831478061197,-0.25293266110916995,0.0
0.34,0.01773588730110469,-0.2719164893077937,0.0
0.35000000000000003,0.018523282737329557,-0.2914844352971444,0.0
0.36000000000000004,0.01755852842809364,-0.3116638795986623,0.0
0.37,0.01321866539257844,-0.33248394117959335,0.0
0.38,0.008846693278670836,-0.353975617650232,0.0
