threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.002919823232323232,0.009627525252525252,0.0
0.02,-0.0007174744897959184,-0.0004783163265306145,0.0
0.03,-0.0007248711340206186,-0.010792525773195876,0.0
0.04,-0.0008138020833333335,-0.021321614583333336,0.0
0.05,-0.0010279605263157896,-0.032072368421052634,0.0
0.060000000000000005,-0.0012466755319148937,-0.04305186170212767,0.0
0.06999999999999999,-0.0011760752688172041,-0.05426747311827956,0.0
0.08,-0.001358695652173913,-0.06572690217391304,0.0
0.09,-0.0015453296703296703,-0.07743818681318682,0.0
0.09999999999999999,-0.001736111111111111,-0.08940972222222221,0.0
0.11,-0.0014483848314606742,-0.1016502808988764,0.0
0.12,-0.0015980113636363635,-0.11416903409090909,0.0
0.13,-0.0017510775862068966,-0.1269755747126437,0.0
0.14,-0.0012718023255813954,-0.14007994186046513,0.0
0.15000000000000002,-0.0013786764705882356,-0.15349264705882357,0.0
0.16,-0.0014880952380952382,-0.1672247023809524,0.0
0.17,-0.0016001506024096387,-0.18128765060240967,0.0
0.18000000000000002,-0.0017149390243902441,-0.19569359756097562,0.0
0.19,-0.0018325617283950616,-0.21045524691358022,0.0
0.2,-0.001953125,-0.2255859375,0.0
0.21000000000000002,-0.002076740506329114,-0.24109968354430383,0.0
0.22,-0.002203525641025641,-0.25701121794871795,0.0
0.23,-0.002333603896103896,-0.273336038961039,0.0
0.24000000000000002,-0.002467105263157895,-0.2900904605263158,0.0
0.25,-0.0026041666666666665,-0.30729166666666663,0.0
0.26,-0.0013724662162162163,-0.3249577702702703,0.0
0.27,-0.0014447773972602741,-0.3431078767123288,0.0
0.28,-0.0015190972222222225,-0.36176215277777785,0.0
0.29000000000000004,-0.001595510563380282,-0.38094190140845074,0.0
0.3,-0.001674107142857143,-0.4006696428571429,0.0
0.31,-0.0017549818840579712,-0.4209692028985508,0.0
0.32,-0.0018382352941176473,-0.44186580882352944,0.0
0.33,-0.0019239738805970153,-0.4633861940298508,0.0
0.34,-0.0020123106060606064,-0.48555871212121227,0.0
0.35000000000000003,-0.002103365384615385,-0.5084134615384617,0.0
0.36000000000000004,-0.0021972656250000004,-0.5319824218750001,0.0
0.37,-0.0022941468253968255,-0.5562996031746033,0.0
0.38,-0.0023941532258064517,-0.5814012096774194,0.0
0.39,-0.002497438524590164,-0.6073258196721312,0.0
0.4,-0.002604166666666667,-0.6341145833333334,0.0
0.41000000000000003,-0.002714512711864407,-0.6618114406779662,0.0
0.42000000000000004,-0.0028286637931034487,-0.6904633620689656,0.0
0.43,-0.002946820175438596,-0.7201206140350876,0.0
0.44,-0.0030691964285714285,-0.7508370535714286,0.0
0.45,-0.003196022727272727,-0.7826704545454545,0.0
0.46,-0.0033275462962962963,-0.8156828703703703,0.0
0.47000000000000003,-0.0034640330188679246,-0.8499410377358491,0.0
0.48000000000000004,-0.003605769230769231,-0.885516826923077,0.0
0.49,-0.0037530637254901958,-0.9224877450980391,0.0
0.5,-0.00390625,-0.9609375,0.0
0.51,-0.004065688775510204,-1.0009566326530612,0.0
0.52,-0.004231770833333334,-1.0426432291666667,0.0
0.53,-0.004404920212765958,-1.0861037234042554,0.0
0.54,-0.004585597826086957,-1.1314538043478262,0.0
0.55,-0.004774305555555557,-1.1788194444444449,0.0
0.56,-0.00497159090909091,-1.2283380681818183,0.0
0.5700000000000001,-0.005178052325581397,-1.2801598837209305,0.0
0.5800000000000001,-0.00539434523809524,-1.334449404761905,0.0
0.59,-0.005621189024390243,-1.391387195121951,0.0
0.6,-0.005859374999999999,-1.4511718749999998,0.0
0.61,-0.006109775641025641,-1.514022435897436,0.0
0.62,-0.006373355263157895,-1.5801809210526316,0.0
0.63,-0.006651182432432432,-1.6499155405405406,0.0
0.64,-0.006944444444444445,-1.7235243055555556,0.0
0.65,-0.007254464285714287,-1.801339285714286,0.0
0.66,-0.007582720588235295,-1.883731617647059,0.0
0.67,-0.007930871212121214,-1.9711174242424248,0.0
0.68,-0.008300781250000002,-2.0639648437500004,0.0
0.6900000000000001,-0.008694556451612906,-2.1628024193548394,0.0
0.7000000000000001,-0.009114583333333336,-2.2682291666666674,0.0
0.7100000000000001,-0.009563577586206901,-2.380926724137932,0.0
0.72,-0.010044642857142856,-2.5016741071428568,0.0
0.73,-0.010561342592592591,-2.6313657407407405,0.0
0.74,-0.01111778846153846,-2.7710336538461533,0.0
0.75,-0.01171875,-2.921875,0.0
0.76,-0.012369791666666668,-3.0852864583333335,0.0
0.77,-0.013077445652173914,-3.2629076086956523,0.0
0.78,-0.01384943181818182,-3.4566761363636367,0.0
0.79,-0.01469494047619048,-3.66889880952381,0.0
0.8,-0.015625000000000003,-3.902343750000001,0.0
0.81,-0.016652960526315794,-4.160361842105265,0.0
0.8200000000000001,-0.017795138888888895,-4.4470486111111125,0.0
0.8300000000000001,-0.019071691176470597,-4.7674632352941195,0.0
0.8400000000000001,-0.020507812500000014,-5.1279296875000036,0.0
0.85,-0.022135416666666664,-5.536458333333333,0.0
0.86,-0.023995535714285712,-6.0033482142857135,0.0
0.87,-0.02614182692307692,-6.542067307692307,0.0
0.88,-0.028645833333333336,-7.170572916666667,0.0
0.89,-0.03160511363636364,-7.913352272727273,0.0
0.9,-0.03515625000000001,-8.804687500000002,0.0
0.91,-0.03949652777777779,-9.894097222222225,0.0
0.92,-0.04492187500000003,-11.255859375000007,0.0
0.93,-0.051897321428571466,-13.006696428571438,0.0
0.9400000000000001,-0.06119791666666673,-15.341145833333348,0.0
0.9500000000000001,-0.07421875000000011,-18.60937500000003,0.0
0.9600000000000001,-0.09375000000000018,-23.511718750000046,0.0
0.97,-0.12630208333333323,-31.68229166666664,0.0
0.98,-0.19140624999999983,-48.02343749999996,0.0
0.99,-0.38671874999999967,-97.04687499999991,0.0
