feature,domain,outcome,cohort,auc
sdnn_mean,HRV,hypertension,vitaldb,0.6144
sdnn_std,HRV,hypertension,vitaldb,0.5887
sdnn_min,HRV,hypertension,vitaldb,0.5329
sdnn_max,HRV,hypertension,vitaldb,0.6311
sdnn_slope,HRV,hypertension,vitaldb,0.6035
rmssd_mean,HRV,hypertension,vitaldb,0.604
rmssd_std,HRV,hypertension,vitaldb,0.5919
rmssd_min,HRV,hypertension,vitaldb,0.5233
rmssd_max,HRV,hypertension,vitaldb,0.6334
rmssd_slope,HRV,hypertension,vitaldb,0.6084
pnn50_mean,HRV,hypertension,vitaldb,0.6276
pnn50_std,HRV,hypertension,vitaldb,0.638
pnn50_min,HRV,hypertension,vitaldb,0.5196
pnn50_max,HRV,hypertension,vitaldb,0.7194
pnn50_slope,HRV,hypertension,vitaldb,0.5893
arv_mean,BPV,hypertension,vitaldb,0.5315
arv_std,BPV,hypertension,vitaldb,0.7812
arv_min,BPV,hypertension,vitaldb,0.6773
arv_max,BPV,hypertension,vitaldb,0.7739
arv_slope,BPV,hypertension,vitaldb,0.5667
cv_pa_mean,BPV,hypertension,vitaldb,0.6031
cv_pa_std,BPV,hypertension,vitaldb,0.7114
cv_pa_min,BPV,hypertension,vitaldb,0.6393
cv_pa_max,BPV,hypertension,vitaldb,0.7036
cv_pa_slope,BPV,hypertension,vitaldb,0.7145
std_pa_mean,BPV,hypertension,vitaldb,0.6536
std_pa_std,BPV,hypertension,vitaldb,0.721
std_pa_min,BPV,hypertension,vitaldb,0.5957
std_pa_max,BPV,hypertension,vitaldb,0.7176
std_pa_slope,BPV,hypertension,vitaldb,0.7599
rsa_mean,RSA,hypertension,vitaldb,0.5801
rsa_std,RSA,hypertension,vitaldb,0.537
rsa_min,RSA,hypertension,vitaldb,0.5053
rsa_max,RSA,hypertension,vitaldb,0.559
rsa_slope,RSA,hypertension,vitaldb,0.5621
