asa,pct_brs_min_neg,median_brs_min,n
1.0,0.0,0.41217856113839957,747
2.0,0.0,0.46408554654212447,2681
3.0,0.0,0.4960167013990212,863
4.0,0.0,0.40508081712871025,74
6.0,0.0,0.42640224729718224,5
