cohort,event_type,n_windows,n_events,n_controls,prevalence,n_patients,brs_mean_mean,brs_mean_sd,brs_std_mean,brs_std_sd,brs_slope_mean,brs_slope_sd,brs_min_mean,brs_min_sd,brs_max_mean,brs_max_sd,sdnn_mean_mean,sdnn_mean_sd,sdnn_std_mean,sdnn_std_sd,sdnn_min_mean,sdnn_min_sd,sdnn_max_mean,sdnn_max_sd,sdnn_slope_mean,sdnn_slope_sd,rmssd_mean_mean,rmssd_mean_sd,rmssd_std_mean,rmssd_std_sd,rmssd_min_mean,rmssd_min_sd,rmssd_max_mean,rmssd_max_sd,rmssd_slope_mean,rmssd_slope_sd,pnn50_mean_mean,pnn50_mean_sd,pnn50_std_mean,pnn50_std_sd,pnn50_min_mean,pnn50_min_sd,pnn50_max_mean,pnn50_max_sd,pnn50_slope_mean,pnn50_slope_sd,arv_mean_mean,arv_mean_sd,arv_std_mean,arv_std_sd,arv_min_mean,arv_min_sd,arv_max_mean,arv_max_sd,arv_slope_mean,arv_slope_sd,cv_pa_mean_mean,cv_pa_mean_sd,cv_pa_std_mean,cv_pa_std_sd,cv_pa_min_mean,cv_pa_min_sd,cv_pa_max_mean,cv_pa_max_sd,cv_pa_slope_mean,cv_pa_slope_sd,std_pa_mean_mean,std_pa_mean_sd,std_pa_std_mean,std_pa_std_sd,std_pa_min_mean,std_pa_min_sd,std_pa_max_mean,std_pa_max_sd,std_pa_slope_mean,std_pa_slope_sd,rsa_mean_mean,rsa_mean_sd,rsa_std_mean,rsa_std_sd,rsa_min_mean,rsa_min_sd,rsa_max_mean,rsa_max_sd,rsa_slope_mean,rsa_slope_sd
Clínic,hypotension,951,66,885,0.069,204,75.1869,289.0364,119.9073,361.7481,-0.7881,61.4326,18.7798,243.5113,872.5657,2897.5012,47.1608,70.3323,28.3843,42.5377,15.1208,47.284,167.1353,196.8747,-0.2453,8.9913,58.7437,96.3307,36.3895,55.3062,19.2502,65.9977,224.3284,287.8499,-0.1978,10.8878,14.4696,24.2431,6.7845,8.002,5.1082,16.6293,40.3791,37.3742,-0.049,1.7025,5.5605,4.5317,1.4644,1.2687,3.0793,3.8614,11.4995,9.0314,-0.006,0.0772,0.0616,0.0434,0.0211,0.0227,0.0333,0.0355,0.1649,0.1561,-0.0,0.0013,4.881,4.2551,1.826,2.1874,2.6547,3.9441,15.0623,18.743,-0.0037,0.0947,19.8089,26.5306,14.2779,17.0788,3.9984,8.8891,94.8079,90.8864,-0.1787,3.6707
Clínic,hypertension,923,38,885,0.041,204,76.0592,292.2954,120.275,364.4279,-0.7831,62.2306,19.189,246.743,872.1738,2916.6193,47.5961,70.4808,28.1913,42.2196,15.477,47.8284,166.7978,195.2414,-0.2269,9.113,58.8993,96.5569,35.9918,54.9232,19.5138,66.7127,222.8382,286.1505,-0.1654,11.026,14.6187,24.2753,6.7395,7.8878,5.1529,16.7763,39.9272,36.7526,-0.0379,1.7133,5.3403,4.1072,1.4303,1.2644,2.9946,3.4338,11.2954,8.8217,-0.006,0.0739,0.0572,0.0291,0.0198,0.0187,0.0309,0.0245,0.1556,0.1414,-0.0001,0.001,4.6399,2.3773,1.7806,2.0488,2.5055,1.966,14.6499,17.9804,-0.005,0.0882,20.1386,26.4871,14.3072,16.9681,4.0789,8.9351,95.954,90.7285,-0.173,3.6272
Clínic,variability,2481,1596,885,0.643,269,83.1563,306.7371,110.3098,292.8395,0.3739,45.7075,28.0052,267.9919,783.9685,2213.2485,53.1631,75.2357,31.8409,48.123,17.0314,45.8054,176.7712,202.2255,-0.4281,12.7615,67.0987,103.6521,41.3419,64.2855,21.8623,64.6523,237.4889,294.6238,-0.4132,17.2406,17.1233,26.5433,7.6601,9.1019,6.387,19.5002,43.8853,38.2802,-0.0726,2.9937,5.5739,4.25,1.4637,1.1659,3.1127,3.5815,11.4049,8.3927,-0.0046,0.1714,0.0616,0.0358,0.0211,0.0199,0.0338,0.0328,0.1632,0.1474,-0.0001,0.003,4.9939,2.8955,1.8824,2.1256,2.7436,2.6319,15.1347,17.6858,-0.0028,0.2646,20.9004,27.3192,14.7724,16.8403,4.2681,10.125,98.0343,88.4957,-0.1184,3.033
