feature,coef_raw,coef_abs
rmssd_std,0.35210266600401435,0.35210266600401435
std_pa_std,0.3500178848447423,0.3500178848447423
std_pa_max,-0.28390753928992724,0.28390753928992724
sdnn_std,-0.24981797399911704,0.24981797399911704
cv_pa_mean,0.17546704314231548,0.17546704314231548
pnn50_mean,0.15200541713432408,0.15200541713432408
sdnn_mean,-0.0861130760367071,0.0861130760367071
rmssd_mean,-0.03225923638071939,0.03225923638071939
