bin_center,mean_predicted,observed_rate,count
0.05,0.005175040641864105,0.012359550561797753,890
0.15000000000000002,0.13704307181281672,0.5,10
0.25,0.23422997037701718,0.6666666666666666,3
0.35000000000000003,0.3538607239814587,1.0,4
0.45,0.4634941576095189,1.0,6
0.55,0.5279086173780714,1.0,3
0.6500000000000001,0.6794543953377806,1.0,1
0.75,0.7481836654769163,1.0,2
0.8500000000000001,0.8616532741269073,1.0,3
0.95,0.9999992637508228,1.0,1
