threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.058099395638827815,0.06000063728770353,0.0
0.02,0.05161054958260907,0.0504088070559454,0.0
0.03,0.0483918176200852,0.04061920712868711,0.0
0.04,0.045478443743427965,0.030625657202944266,0.0
0.05,0.03807626321323814,0.020421716752448943,0.0
0.060000000000000005,0.03787726245609325,0.010000671185985625,0.0
0.06999999999999999,0.0368485917483577,-0.000644482887283318,0.0
0.08,0.031362867462167966,-0.011521053353449454,0.0
0.09,0.0315688517581262,-0.022636669324366476,0.0
0.09999999999999999,0.029325855824278536,-0.033999298983526105,0.0
0.11,0.027103344793771193,-0.04561726863502641,0.0
0.12,0.027005066437243094,-0.05749928305133352,0.0
0.13,0.025877177079178602,-0.06965444722433738,0.0
0.14,0.025652312131660675,-0.08209228963392269,0.0
0.15000000000000002,0.02474175790189893,-0.09482278715902769,0.0
0.16,0.02453557658604977,-0.1078563917680637,0.0
0.17,0.02243675015519491,-0.12120405913876327,0.0
0.18000000000000002,0.020132851170783,-0.13487727937216282,0.0
0.19,0.019927042359569522,-0.14888810998169566,0.0
0.2,0.019978969505783383,-0.16324921135646686,0.0
0.21000000000000002,0.020058832142049007,-0.17797388491794114,0.0
0.22,0.019412763892259162,-0.1930761142117609,0.0
0.23,0.017466235131850274,-0.20857060920152398,0.0
0.24000000000000002,0.0176545464607892,-0.22447285405943884,0.0
0.25,0.01752541184717841,-0.24079915878023128,0.0
0.26,0.017762241737005146,-0.2575667149799642,0.0
0.27,0.017645448914624835,-0.2747936562810596,0.0
0.28,0.01752541184717841,-0.2924991237294077,0.0
0.29000000000000004,0.016350468743057716,-0.31070333673968104,0.0
0.3,0.015171999399128736,-0.32942767012167645,0.0
0.31,0.013989850500617199,-0.3486947378045993,0.0
0.32,0.012803859714232695,-0.36852848394878457,0.0
0.33,0.012665379725975798,-0.38895428221667694,0.0
0.34,0.01252270337443839,-0.4099990440684448,0.0
0.35000000000000003,0.012941842594839438,-0.4316913370541131,0.0
0.36000000000000004,0.01281545741324921,-0.4540615141955837,0.0
0.37,0.01268506000367199,-0.4771418556907516,0.0
0.38,0.013194939113327227,-0.500966724330925,0.0
0.39,0.012704487080036546,-0.5255727362052025,0.0
0.4,0.01331931300385559,-0.5509989484752892,0.0
0.41000000000000003,0.013259904828102444,-0.5772870662460567,0.0
0.42000000000000004,0.013198448094564705,-0.6044816708365062,0.0
0.43,0.013134834984411608,-0.6326304720792516,0.0
0.44,0.012017425266636622,-0.6617845876520955,0.0
0.45,0.010897619730427301,-0.6919988528821336,0.0
0.46,0.010826809985590217,-0.7233321649725435,0.0
0.47000000000000003,0.010753328174910223,-0.7558478661984406,0.0
0.48000000000000004,0.010677020140742538,-0.7896141713176413,0.0
0.49,0.01160800808230758,-0.8247046452650459,0.0
0.5,0.011566771819137749,-0.861198738170347,0.0
0.51,0.011523852443185476,-0.8991823858881092,0.0
0.52,0.011479144759901857,-0.9387486855941116,0.0
0.53,0.01038100991117972,-0.9799986576280288,0.0
0.54,0.009280848534723175,-1.0230421067068989,0.0
0.55,0.009230050239513963,-1.0679985979670525,0.0
0.56,0.00917694293088615,-1.1149985661026671,0.0
0.5700000000000001,0.009121365514880297,-1.1641845792678456,0.0
0.5800000000000001,0.00906314155525512,-1.2157127835361277,0.0
0.59,0.009002077402477496,-1.2697545587443253,0.0
0.6,0.008937960042060988,-1.3264984227129335,0.0
0.61,0.008870554611879534,-1.3861522284235217,0.0
0.62,0.008799601527478001,-1.4489457081188775,0.0
0.63,0.008724813141216927,-1.5151334299599284,0.0
0.64,0.008645869844608016,-1.5849982474588153,0.0
0.65,0.008562415502478594,-1.658855340243353,0.0
0.66,0.008474052081400384,-1.7370569678975694,0.0
0.67,0.008380333301468947,-1.8199980881368898,0.0
0.68,0.008280757097791799,-1.9081230283911677,0.0
0.6900000000000001,0.00817475662290967,-2.0019334486618505,0.0
0.7000000000000001,0.008061689449702068,-2.101997896950579,0.0
0.7100000000000001,0.007940824540411182,-2.2089633416730132,0.0
0.72,0.007811326423313806,-2.3235691753041907,0.0
0.73,0.007672235853098105,-2.4466643299450865,0.0
0.74,0.007522446008250426,-2.5792283426352824,0.0
0.75,0.007360672975814933,-2.722397476340694,0.0
0.76,0.007185418857343148,-2.8774973711882232,0.0
0.77,0.0069949252503086,-3.0460842134137978,0.0
0.78,0.006787114042634547,-3.2299971322053342,0.0
0.79,0.00655951129137249,-3.4314255670722553,0.0
0.8,0.006309148264984227,-3.6529968454258683,0.0
0.81,0.006032431235818252,-3.8978914162377563,0.0
0.8200000000000001,0.0057249678700782795,-4.1699964949176325,0.0
0.8300000000000001,0.004329807632832311,-4.474113935795141,0.0
0.8400000000000001,0.0028916929547844333,-4.816246056782338,0.0
0.85,0.002453557658604978,-5.203995793901156,0.0
0.86,0.001952831605828452,-5.647138350608382,0.0
0.87,-0.0007279786459597178,-6.158456685270565,0.0
0.88,-0.0014020329477742732,-6.7549947423764465,0.0
0.89,-0.0021986425771914732,-7.459994264410669,0.0
0.9,-0.0031545741324921156,-8.305993690851738,0.0
0.91,-0.005374459633134715,-9.339992989835265,0.0
0.92,-0.0068349106203995855,-10.632492113564675,0.0
0.93,-0.008712633318311562,-12.294276701216774,0.0
0.9400000000000001,-0.011216263582194198,-14.509989484752905,0.0
0.9500000000000001,-0.014721345951629891,-17.611987381703496,0.0
0.9600000000000001,-0.019978969505783435,-22.26498422712938,0.0
0.97,-0.029793200140203265,-30.019978969505758,0.0
0.98,0.004206098843322818,-45.529968454258636,0.0
0.99,0.004206098843322818,-92.05993690851727,0.0
