feature,coef_raw,coef_abs
std_pa_max,-2.828044874361805,2.828044874361805
cv_pa_max,2.5813367393154234,2.5813367393154234
cv_pa_mean,2.5066359172036536,2.5066359172036536
brs_min,-2.309546668028457,2.309546668028457
cv_pa_slope,2.016371478064318,2.016371478064318
rsa_std,1.937999475533381,1.937999475533381
rmssd_mean,1.7591151681703476,1.7591151681703476
rsa_max,-1.6635662100020725,1.6635662100020725
arv_min,-1.6570187076899296,1.6570187076899296
std_pa_slope,-1.6361173416282917,1.6361173416282917
brs_std,-1.2974138594014548,1.2974138594014548
sdnn_mean,-1.2545366174771744,1.2545366174771744
sdnn_min,-1.2297677406632492,1.2297677406632492
brs_mean,-1.161851646180546,1.161851646180546
rmssd_slope,-1.1435916030006847,1.1435916030006847
cv_pa_min,1.1271214579446953,1.1271214579446953
pnn50_max,1.0854025242926593,1.0854025242926593
sdnn_slope,1.0474808816543164,1.0474808816543164
arv_mean,-1.0208462851209295,1.0208462851209295
rsa_mean,-0.9932063084746828,0.9932063084746828
pnn50_mean,-0.7911770936951096,0.7911770936951096
std_pa_mean,-0.6154998650428523,0.6154998650428523
sdnn_max,-0.5853564211286809,0.5853564211286809
arv_max,0.5400093495426239,0.5400093495426239
rmssd_std,0.5263689736950966,0.5263689736950966
rsa_min,0.4903171117351638,0.4903171117351638
brs_max,0.46217968135139426,0.46217968135139426
rsa_slope,0.42502808020449706,0.42502808020449706
rmssd_max,-0.39072556004121173,0.39072556004121173
arv_slope,0.3092011240786336,0.3092011240786336
sdnn_std,-0.26558621457571313,0.26558621457571313
std_pa_min,0.17218112391488496,0.17218112391488496
arv_std,-0.1596627559575632,0.1596627559575632
pnn50_std,-0.1534314390626638,0.1534314390626638
cv_pa_std,0.13272951693350057,0.13272951693350057
std_pa_std,-0.04818976853506599,0.04818976853506599
rmssd_min,-0.04743285912053489,0.04743285912053489
pnn50_slope,0.0384833526766726,0.0384833526766726
brs_slope,0.02125282304567072,0.02125282304567072
pnn50_min,-0.013513777113558346,0.013513777113558346
