feature,coef_raw,coef_abs
std_pa_mean,0.7891663424545081,0.7891663424545081
std_pa_max,-0.788141765632118,0.788141765632118
cv_pa_slope,0.676952817686149,0.676952817686149
std_pa_slope,-0.6152652620787147,0.6152652620787147
cv_pa_mean,-0.5447898521541257,0.5447898521541257
rmssd_std,0.5432502736541619,0.5432502736541619
cv_pa_max,0.4843366693672121,0.4843366693672121
std_pa_std,0.47019588920917466,0.47019588920917466
sdnn_std,-0.36605545536157924,0.36605545536157924
sdnn_min,-0.3508230570185804,0.3508230570185804
rmssd_max,-0.3436609594711657,0.3436609594711657
pnn50_max,0.2921386800635841,0.2921386800635841
arv_min,-0.27172543337135296,0.27172543337135296
cv_pa_min,0.27140717324684677,0.27140717324684677
rsa_mean,-0.20270353440926703,0.20270353440926703
rmssd_min,0.18497975444735318,0.18497975444735318
sdnn_slope,-0.17216813501980013,0.17216813501980013
arv_std,-0.1678900237596039,0.1678900237596039
sdnn_mean,0.1377310247799947,0.1377310247799947
sdnn_max,0.12772557281445782,0.12772557281445782
rmssd_slope,0.11420676797188567,0.11420676797188567
cv_pa_std,-0.09035107654469092,0.09035107654469092
pnn50_std,-0.08394640648209126,0.08394640648209126
brs_std,-0.07669008993085812,0.07669008993085812
pnn50_mean,0.07436602987107604,0.07436602987107604
brs_min,0.061259033107288266,0.061259033107288266
arv_max,0.05796800956244889,0.05796800956244889
arv_slope,0.05478737898652981,0.05478737898652981
brs_slope,0.051565467033487654,0.051565467033487654
rmssd_mean,0.032086450655507553,0.032086450655507553
rsa_max,-0.02592165480834758,0.02592165480834758
rsa_slope,0.024736972851531834,0.024736972851531834
brs_mean,-0.01906632535595559,0.01906632535595559
rsa_std,-0.017579679671115046,0.017579679671115046
brs_max,-0.015766412211638447,0.015766412211638447
pnn50_min,-0.013287072039325887,0.013287072039325887
pnn50_slope,-0.011037671537521977,0.011037671537521977
arv_mean,-0.010896582904404416,0.010896582904404416
std_pa_min,0.006333476307656667,0.006333476307656667
rsa_min,-0.004974299602716541,0.004974299602716541
