threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.6396858549216469,0.6396858549216469,0.0
0.02,0.6360091799718678,0.6360091799718678,0.0
0.03,0.6322566972911654,0.6322566972911654,0.0
0.04,0.6284260378879484,0.6284260378879484,0.0
0.05,0.6245147330236109,0.6245147330236109,0.0
0.060000000000000005,0.6205202089068409,0.6205202089068409,0.0
0.06999999999999999,0.6164397810456241,0.6164397810456241,0.0
0.08,0.6122706482309026,0.6122706482309026,0.0
0.09,0.6080098861235499,0.6080098861235499,0.0
0.09999999999999999,0.6036544404138116,0.6036544404138116,0.0
0.11,0.5992011195195848,0.5992011195195848,0.0
0.12,0.5946465867868528,0.5946465867868528,0.0
0.13,0.5899873521522189,0.5899873521522189,0.0
0.14,0.5852197632237564,0.5852197632237564,0.0
0.15000000000000002,0.580339995732271,0.580339995732271,0.0
0.16,0.5753440433005124,0.5753440433005124,0.0
0.17,0.5702277064728077,0.5702277064728077,0.0
0.18000000000000002,0.5649865809419883,0.5649865809419883,0.0
0.19,0.5596160449042351,0.5596160449042351,0.0
0.2,0.554111245465538,0.554111245465538,0.0
0.21000000000000002,0.5484670840157347,0.5484670840157347,0.0
0.22,0.5427918849926104,0.542678200477475,0.0
0.23,0.5368593518533058,0.5367389563278318,0.0
0.24000000000000002,0.5307706994208616,0.5306434162795137,0.0
0.25,0.5246540373505306,0.5243853284965739,0.0
0.26,0.5182413368628604,0.517958103205987,0.0
0.27,0.5116529459508704,0.5113547895512746,0.0
0.28,0.504881544180214,0.5045680505172645,0.0
0.29000000000000004,0.4982486616595988,0.49759013573581745,0.0
0.3,0.4912765589911901,0.4904128519606149,0.0
0.31,0.48393296298243454,0.4830275309745368,0.0
0.32,0.47637337885577435,0.47542499466533883,0.0
0.33,0.46858813550145273,0.4675955169737767,0.0
0.34,0.46098225300159995,0.4595287823824703,0.0
0.35000000000000003,0.45254704988683214,0.45121384057296987,0.0
0.36000000000000004,0.4438734381297863,0.4426390568319225,0.0
0.37,0.43535312821890815,0.4337920577340165,0.0
0.38,0.4263239328574586,0.42465967156843615,0.0
0.39,0.4169986983038304,0.41522786290562363,0.0
0.4,0.4077656858793497,0.40548166062071733,0.0
0.41000000000000003,0.39839731108970544,0.3954050785973397,0.0
0.42000000000000004,0.38902555977150477,0.38498102822832825,0.0
0.43,0.37724601709836875,0.3741912217060183,0.0
0.44,0.3662981516669546,0.3630160649507686,0.0
0.45,0.35480561357223994,0.3514345388589644,0.0
0.46,0.3422007255139057,0.3394240673563526,0.0
0.47000000000000003,0.3299871476048155,0.32696037051401966,0.0
0.48000000000000004,0.3176448702446284,0.3140173007162123,0.0
0.49,0.3057037405853112,0.30056665955378514,0.0
0.5,0.29181781539701734,0.28657799274486084,0.0
0.51,0.27836866306377445,0.2720183599437355,0.0
0.52,0.26414080343947327,0.25685207577589664,0.0
0.53,0.25133139519925896,0.24104041781368168,0.0
0.54,0.24055868075635695,0.2245412964618052,0.0
0.55,0.22231179184020766,0.20730888082762305,0.0
0.56,0.20376680957092075,0.18929317357370545,0.0
0.5700000000000001,0.18897106380585466,0.17043952644751248,0.0
0.5800000000000001,0.17193527955317545,0.15068808660102467,0.0
0.59,0.15337049380167328,0.12997316188397678,0.0
0.6,0.13845223700120918,0.10822249093107617,0.0
0.61,0.12377143211484204,0.08535640095494978,0.0
0.62,0.12412227667112158,0.06128683255902745,0.0
0.63,0.11002538209309676,0.03591620641197413,0.0
0.64,0.10734918715571676,0.009136101034528887,0.0
0.65,0.09921114757874125,-0.019174296078770303,0.0
0.66,0.08770182801052703,-0.04915001066932234,0.0
0.67,0.0681543365944817,-0.0809424352350595,0.0
0.68,0.055370818218460294,-0.1147218863361551,0.0
0.6900000000000001,0.06148665340458451,-0.15068065686312793,0.0
0.7000000000000001,0.052666935375520585,-0.18903667875856545,0.0
0.7100000000000001,0.04415627736313217,-0.23003794354334373,0.0
0.72,0.03604537340933957,-0.2739678700984627,0.0
0.73,0.03958977114962606,-0.32115186528729456,0.0
0.74,0.03351626205314236,-0.37196539856757527,0.0
0.75,0.02539298669891174,-0.4268440145102783,0.0
0.76,0.023377670294236187,-0.4862958484482067,0.0
0.77,0.01479066996127086,-0.5509174070763896,0.0
0.78,0.010186508372723606,-0.6214136528525891,0.0
0.79,0.006084336193163266,-0.6986238267979508,0.0
0.8,0.004030632809351065,-0.7835550181378481,0.0
0.81,0.0001697108551305601,-0.8774263348819455,0.0
0.8200000000000001,-0.0004926328989207016,-0.9817277979309427,0.0
0.8300000000000001,-0.0007587073523484533,-1.0983000213386453,0.0
0.8400000000000001,-0.0014107214832728907,-1.229443772672311,0.0
0.85,0.002552734112589012,-1.3780733575171302,0.0
0.86,0.005642885933091497,-1.5479357401969254,0.0
0.87,0.002077326140204016,-1.7439307971351505,0.0
0.88,0.004164987236329435,-1.9725916968964134,0.0
0.89,-0.00018321058224323242,-2.242827305705178,0.0
0.9,-0.0004030632809351106,-2.5671100362756962,0.0
0.91,-0.0009404809888485868,-2.9634555958618853,0.0
0.92,-0.005038291011688843,-3.458887545344622,0.0
0.93,-0.008809811711867347,-4.095871480393855,0.0
0.9400000000000001,-0.013704151551793647,-4.945183393792831,0.0
0.9500000000000001,-0.0104796453043128,-6.134220072551402,0.0
0.9600000000000001,-0.014913341394598989,-7.917775090689256,0.0
0.97,-0.009001746607550709,-10.890366787585643,0.0
0.98,0.0028214429665457475,-16.835550181378466,0.0
0.99,0.0016122531237404273,-34.671100362756924,0.0
