cohort,event_type,n_windows,n_events,n_controls,prevalence,n_patients,brs_mean_mean,brs_mean_sd,brs_std_mean,brs_std_sd,brs_min_mean,brs_min_sd,brs_max_mean,brs_max_sd,brs_slope_mean,brs_slope_sd,sdnn_mean_mean,sdnn_mean_sd,sdnn_std_mean,sdnn_std_sd,sdnn_min_mean,sdnn_min_sd,sdnn_max_mean,sdnn_max_sd,sdnn_slope_mean,sdnn_slope_sd,rmssd_mean_mean,rmssd_mean_sd,rmssd_std_mean,rmssd_std_sd,rmssd_min_mean,rmssd_min_sd,rmssd_max_mean,rmssd_max_sd,rmssd_slope_mean,rmssd_slope_sd,pnn50_mean_mean,pnn50_mean_sd,pnn50_std_mean,pnn50_std_sd,pnn50_min_mean,pnn50_min_sd,pnn50_max_mean,pnn50_max_sd,pnn50_slope_mean,pnn50_slope_sd,arv_mean_mean,arv_mean_sd,arv_std_mean,arv_std_sd,arv_min_mean,arv_min_sd,arv_max_mean,arv_max_sd,arv_slope_mean,arv_slope_sd,cv_pa_mean_mean,cv_pa_mean_sd,cv_pa_std_mean,cv_pa_std_sd,cv_pa_min_mean,cv_pa_min_sd,cv_pa_max_mean,cv_pa_max_sd,cv_pa_slope_mean,cv_pa_slope_sd,std_pa_mean_mean,std_pa_mean_sd,std_pa_std_mean,std_pa_std_sd,std_pa_min_mean,std_pa_min_sd,std_pa_max_mean,std_pa_max_sd,std_pa_slope_mean,std_pa_slope_sd,rsa_mean_mean,rsa_mean_sd,rsa_std_mean,rsa_std_sd,rsa_min_mean,rsa_min_sd,rsa_max_mean,rsa_max_sd,rsa_slope_mean,rsa_slope_sd
vitaldb,hypotension,988,505,483,0.511,580,25.9764,143.1819,31.1331,102.0406,8.5753,122.4033,218.7093,620.6512,-0.0077,5.1286,42.0991,63.7396,32.5188,32.5327,11.3794,43.9018,192.1457,166.8823,-0.3262,7.1773,51.3759,87.0864,39.3252,43.5675,14.911,61.6901,244.8833,239.9569,-0.3349,8.9094,13.0054,24.4787,8.3946,8.0761,4.5871,19.209,54.7593,37.4068,0.036,1.4165,8.0678,3.8406,1.7188,1.2234,4.2399,3.2807,15.5348,12.1009,0.0004,0.1204,0.088,0.0404,0.0435,0.0405,0.0497,0.0356,0.3686,0.2675,0.0002,0.0024,6.9488,3.5477,4.8294,5.2323,3.7755,2.9785,36.8242,32.9355,0.0114,0.1927,16.402,23.841,17.1057,16.2652,2.1339,5.6944,110.2639,77.6362,-0.0184,1.4761
vitaldb,hypertension,558,75,483,0.134,306,22.7991,160.1367,24.9352,82.743,9.6347,153.7124,182.6752,548.2956,-0.3404,3.5601,36.7802,65.8134,28.4217,32.7801,9.5095,45.2494,160.5998,156.519,-0.5208,8.663,44.3275,88.4164,34.015,43.7633,12.2671,63.5369,200.5132,223.9046,-0.508,10.2646,10.6806,22.0484,7.0568,7.5153,3.1856,15.0389,41.5218,35.2145,0.0084,0.7933,7.4964,3.2095,1.3886,0.8034,4.2835,3.0856,13.0722,7.3441,-0.0018,0.0625,0.0795,0.0315,0.0395,0.0391,0.0472,0.0288,0.3147,0.2562,0.0001,0.0012,6.2913,2.7478,4.539,5.2262,3.592,2.0609,33.2934,33.0338,0.0086,0.1484,14.8024,23.2681,15.2564,16.1444,1.9525,4.6038,99.6607,79.1306,0.01,0.7945
vitaldb,variability,2925,2442,483,0.835,1068,20.1777,94.8495,27.8935,74.9456,5.2266,83.3719,209.5977,617.3345,-0.1776,6.2258,52.3374,67.4023,40.8449,35.4347,12.087,42.6475,213.5563,163.1526,-0.2729,11.5642,61.6618,91.2145,47.479,44.3484,15.5005,60.5165,262.0945,234.6297,-0.2767,15.7659,14.8503,24.1114,9.8763,8.5532,4.133,17.3216,53.7834,34.3083,0.0371,1.9391,8.0717,2.9931,1.7008,1.1039,4.1353,3.0452,15.3392,10.6412,-0.001,0.1833,0.0915,0.0378,0.0514,0.0467,0.0485,0.0329,0.3883,0.2884,-0.0001,0.0063,7.4925,3.9421,6.2507,6.3724,3.6847,2.6272,42.7619,36.8131,-0.0149,0.834,21.5739,26.3269,22.3315,17.0772,2.844,9.2281,132.3953,76.0802,-0.005,1.4637
