cohort,event_type,feature,auc,n_events,n_controls
clinic,variability,pnn50_min,0.5122453025218414,1596,885
clinic,variability,pnn50_max,0.5454388088866233,1596,885
clinic,variability,pnn50_slope,0.5077903800484036,1596,885
clinic,variability,arv_mean,0.5255270945725896,1596,885
clinic,variability,arv_std,0.5409402419930498,1596,885
clinic,variability,arv_min,0.5164992282967306,1596,885
clinic,variability,arv_max,0.5269841269841269,1596,885
clinic,variability,arv_slope,0.5146148043675106,1596,885
clinic,variability,cv_pa_mean,0.5431906036277133,1596,885
clinic,variability,cv_pa_std,0.5444447055574976,1596,885
clinic,variability,cv_pa_min,0.5206540362204948,1596,885
clinic,variability,cv_pa_max,0.5383784319555952,1596,885
clinic,variability,cv_pa_slope,0.5039598138229928,1596,885
clinic,variability,std_pa_mean,0.55575733118106,1596,885
clinic,variability,std_pa_std,0.5529965660369599,1596,885
clinic,variability,std_pa_min,0.53071768404061,1596,885
clinic,variability,std_pa_max,0.550601078968608,1596,885
clinic,variability,std_pa_slope,0.5013355585083467,1596,885
clinic,variability,rsa_mean,0.5226703115828705,1596,885
clinic,variability,rsa_std,0.5253842918133672,1596,885
clinic,variability,rsa_min,0.5011759780319914,1596,885
clinic,variability,rsa_max,0.5163910404019258,1596,885
clinic,variability,rsa_slope,0.5026089544701703,1596,885
mimic,hypotension,brs_mean,0.7414658634538152,48,251
mimic,hypotension,brs_std,0.6515456989247311,48,251
mimic,hypotension,brs_min,0.6363788487282462,48,251
mimic,hypotension,brs_max,0.6529451137884873,48,251
mimic,hypotension,brs_slope,0.5613191632928475,48,251
mimic,hypotension,sdnn_mean,0.6404382470119522,48,251
mimic,hypotension,sdnn_std,0.6386378848728246,48,251
mimic,hypotension,sdnn_min,0.6433017928286853,48,251
mimic,hypotension,sdnn_max,0.633383134130146,48,251
mimic,hypotension,sdnn_slope,0.5269410977242303,48,251
mimic,hypotension,rmssd_mean,0.6567065073041168,48,251
mimic,hypotension,rmssd_std,0.6486780455153949,48,251
mimic,hypotension,rmssd_min,0.6625996015936255,48,251
mimic,hypotension,rmssd_max,0.6555444887118195,48,251
mimic,hypotension,rmssd_slope,0.5212516733601071,48,251
mimic,hypotension,pnn50_mean,0.6596115537848605,48,251
mimic,hypotension,pnn50_std,0.6470046854082998,48,251
mimic,hypotension,pnn50_min,0.576651726427623,48,251
mimic,hypotension,pnn50_max,0.6298970783532536,48,251
mimic,hypotension,pnn50_slope,0.5,48,251
mimic,hypotension,arv_mean,0.6147078353253652,48,251
mimic,hypotension,arv_std,0.5796519410977242,48,251
mimic,hypotension,arv_min,0.6762118193891102,48,251
mimic,hypotension,arv_max,0.5469787516600265,48,251
mimic,hypotension,arv_slope,0.5466030789825971,48,251
mimic,hypotension,cv_pa_mean,0.5090471447543161,48,251
mimic,hypotension,cv_pa_std,0.5990629183400268,48,251
mimic,hypotension,cv_pa_min,0.560839973439575,48,251
mimic,hypotension,cv_pa_max,0.5412516600265604,48,251
mimic,hypotension,cv_pa_slope,0.5157295850066934,48,251
mimic,hypotension,std_pa_mean,0.6667496679946879,48,251
mimic,hypotension,std_pa_std,0.5122155287817939,48,251
mimic,hypotension,std_pa_min,0.7036852589641434,48,251
mimic,hypotension,std_pa_max,0.5725431606905711,48,251
mimic,hypotension,std_pa_slope,0.5085341365461847,48,251
mimic,hypotension,rsa_mean,0.6562921727395411,48,251
mimic,hypotension,rsa_std,0.6742577597840756,48,251
mimic,hypotension,rsa_min,0.6364709851551956,48,251
mimic,hypotension,rsa_max,0.6774628879892038,48,251
mimic,hypotension,rsa_slope,0.5509446693657221,48,251
mimic,hypertension,brs_mean,0.6811244979919678,5,251
mimic,hypertension,brs_std,0.7080645161290322,5,251
mimic,hypertension,brs_min,0.58714859437751,5,251
mimic,hypertension,brs_max,0.6987951807228916,5,251
mimic,hypertension,brs_slope,0.5238866396761134,5,251
mimic,hypertension,sdnn_mean,0.7147410358565738,5,251
mimic,hypertension,sdnn_std,0.5413654618473895,5,251
mimic,hypertension,sdnn_min,0.7243027888446215,5,251
mimic,hypertension,sdnn_max,0.6390438247011951,5,251
mimic,hypertension,sdnn_slope,0.6409638554216868,5,251
mimic,hypertension,rmssd_mean,0.699601593625498,5,251
mimic,hypertension,rmssd_std,0.5445783132530121,5,251
mimic,hypertension,rmssd_min,0.7155378486055777,5,251
mimic,hypertension,rmssd_max,0.641434262948207,5,251
mimic,hypertension,rmssd_slope,0.531726907630522,5,251
mimic,hypertension,pnn50_mean,0.7235059760956175,5,251
mimic,hypertension,pnn50_std,0.5052208835341365,5,251
mimic,hypertension,pnn50_min,0.7760956175298805,5,251
mimic,hypertension,pnn50_max,0.6613545816733069,5,251
mimic,hypertension,pnn50_slope,0.5903614457831325,5,251
mimic,hypertension,arv_mean,0.651792828685259,5,251
mimic,hypertension,arv_std,0.7397590361445783,5,251
mimic,hypertension,arv_min,0.500398406374502,5,251
mimic,hypertension,arv_max,0.6374501992031872,5,251
mimic,hypertension,arv_slope,0.5204819277108433,5,251
mimic,hypertension,cv_pa_mean,0.6988047808764941,5,251
mimic,hypertension,cv_pa_std,0.7630522088353414,5,251
mimic,hypertension,cv_pa_min,0.505179282868526,5,251
mimic,hypertension,cv_pa_max,0.7912350597609562,5,251
mimic,hypertension,cv_pa_slope,0.6634538152610442,5,251
mimic,hypertension,std_pa_mean,0.7466135458167331,5,251
mimic,hypertension,std_pa_std,0.8353413654618473,5,251
mimic,hypertension,std_pa_min,0.5625498007968127,5,251
mimic,hypertension,std_pa_max,0.8278884462151395,5,251
mimic,hypertension,std_pa_slope,0.7349397590361445,5,251
mimic,hypertension,rsa_mean,0.7336032388663968,5,251
mimic,hypertension,rsa_std,0.6704453441295547,5,251
mimic,hypertension,rsa_min,0.7044534412955465,5,251
mimic,hypertension,rsa_max,0.7165991902834009,5,251
mimic,hypertension,rsa_slope,0.5255060728744939,5,251
mimic,variability,brs_mean,0.5540590935169248,578,251
mimic,variability,brs_std,0.5434716511264261,578,251
mimic,variability,brs_min,0.5196069994262765,578,251
mimic,variability,brs_max,0.5409423407917384,578,251
mimic,variability,brs_slope,0.5434579748267779,578,251
mimic,variability,sdnn_mean,0.5319000813355574,578,251
mimic,variability,sdnn_std,0.5476260442466732,578,251
mimic,variability,sdnn_min,0.5086884296723142,578,251
mimic,variability,sdnn_max,0.543428362673872,578,251
mimic,variability,sdnn_slope,0.5101033504647963,578,251
mimic,variability,rmssd_mean,0.5384482829925972,578,251
mimic,variability,rmssd_std,0.5491163259309013,578,251
mimic,variability,rmssd_min,0.5039358138380734,578,251
mimic,variability,rmssd_max,0.5454410730779304,578,251
mimic,variability,rmssd_slope,0.5272348133793917,578,251
