pair,feature,ks_stat,ks_pval,wasserstein_norm,pars
clinic_vs_mimic,rsa_max,0.1614,2.4e-05,0.2411,True
clinic_vs_mimic,rsa_slope,0.0712,0.215796,0.0828,False
vitaldb_vs_mimic,brs_mean,0.3203,0.0,0.1437,False
vitaldb_vs_mimic,brs_std,0.2108,0.0,0.0892,False
vitaldb_vs_mimic,brs_slope,0.0452,0.726497,0.1048,False
vitaldb_vs_mimic,brs_min,0.4279,0.0,0.0999,True
vitaldb_vs_mimic,brs_max,0.2222,0.0,0.0928,False
vitaldb_vs_mimic,sdnn_mean,0.2489,0.0,0.3864,True
vitaldb_vs_mimic,sdnn_std,0.1371,0.00034,0.2981,False
vitaldb_vs_mimic,sdnn_min,0.4007,0.0,0.3635,False
vitaldb_vs_mimic,sdnn_max,0.0976,0.023288,0.202,False
vitaldb_vs_mimic,sdnn_slope,0.2179,0.0,0.1507,False
vitaldb_vs_mimic,rmssd_mean,0.2949,0.0,0.4406,False
vitaldb_vs_mimic,rmssd_std,0.0863,0.063027,0.1817,False
vitaldb_vs_mimic,rmssd_min,0.4169,0.0,0.346,False
vitaldb_vs_mimic,rmssd_max,0.0644,0.282996,0.1252,False
vitaldb_vs_mimic,rmssd_slope,0.1534,3.9e-05,0.1602,False
vitaldb_vs_mimic,pnn50_mean,0.3216,0.0,0.5513,False
vitaldb_vs_mimic,pnn50_std,0.1508,5.6e-05,0.1817,False
vitaldb_vs_mimic,pnn50_min,0.2041,0.0,0.3702,False
vitaldb_vs_mimic,pnn50_max,0.1137,0.004797,0.0758,False
vitaldb_vs_mimic,pnn50_slope,0.1309,0.000746,0.0999,False
vitaldb_vs_mimic,arv_mean,0.3961,0.0,0.5513,True
vitaldb_vs_mimic,arv_std,0.1132,0.005367,0.2049,True
vitaldb_vs_mimic,arv_min,0.3135,0.0,0.405,False
vitaldb_vs_mimic,arv_max,0.2025,0.0,0.1841,False
vitaldb_vs_mimic,arv_slope,0.2177,0.0,0.1514,False
vitaldb_vs_mimic,cv_pa_mean,0.2573,0.0,0.3321,True
vitaldb_vs_mimic,cv_pa_std,0.1336,0.00053,0.273,True
vitaldb_vs_mimic,cv_pa_min,0.3009,0.0,0.4237,False
vitaldb_vs_mimic,cv_pa_max,0.2379,0.0,0.4494,False
vitaldb_vs_mimic,cv_pa_slope,0.2203,0.0,0.1388,False
vitaldb_vs_mimic,std_pa_mean,0.3049,0.0,0.4068,True
vitaldb_vs_mimic,std_pa_std,0.1884,0.0,0.4221,True
vitaldb_vs_mimic,std_pa_min,0.3317,0.0,0.4483,False
vitaldb_vs_mimic,std_pa_max,0.2574,0.0,0.4454,True
vitaldb_vs_mimic,std_pa_slope,0.2508,0.0,0.1203,True
vitaldb_vs_mimic,rsa_mean,0.2926,0.0,0.5434,True
vitaldb_vs_mimic,rsa_std,0.0802,0.104533,0.1896,False
vitaldb_vs_mimic,rsa_min,0.385,0.0,0.5647,False
vitaldb_vs_mimic,rsa_max,0.0833,0.082393,0.0951,True
vitaldb_vs_mimic,rsa_slope,0.1582,2.2e-05,0.0743,False
