PC1,PC2,cohort
0.42306350041670826,2.391634474485029,clinic
-3.3696434138838374,-2.2183534227826405,clinic
-3.4308411683056907,-2.2238619746202737,clinic
0.42306350041670826,2.391634474485029,clinic
-3.3696434138838374,-2.2183534227826405,clinic
-3.4308411683056907,-2.2238619746202737,clinic
-3.032146624123002,-1.5623419400246241,clinic
-2.514142018925652,-0.9063373336438222,clinic
0.42306350041670826,2.391634474485029,clinic
-3.3696434138838374,-2.2183534227826405,clinic
-3.4308411683056907,-2.2238619746202737,clinic
-0.26046127190295054,0.3538514772816703,clinic
0.8608880479643349,-1.0636546252678283,clinic
4.6300361135896555,-3.348374763605915,clinic
2.6618190967642152,0.7211058774842178,clinic
2.270624936120078,0.03613950324699457,clinic
-2.098470336768292,-0.7421219739484307,clinic
-2.298800507080857,-1.432755784403329,clinic
-0.6598506526972191,0.9655376318875143,clinic
-0.6598506526972191,0.9655376318875143,clinic
-1.5912689414006254,-0.7570109937183305,clinic
-0.8776276054592533,2.097656374004604,clinic
-0.4642330755387361,-0.13690564545560865,clinic
-0.6598506526972191,0.9655376318875143,clinic
-1.6933269595731886,-0.6599517381415848,clinic
-1.2569307659399274,1.0834224216834354,clinic
5.901054977822184,-3.3511674515548044,clinic
-0.4457782665279247,0.6157428770417728,clinic
-0.7903209401184382,0.4341327278394096,clinic
-2.8964071105793434,-1.4902101221655106,clinic
-0.5424945882766731,0.9604122262428346,clinic
-2.389466217277239,-2.01503699200914,clinic
-1.4149017944400923,-1.7699033579478962,clinic
-0.5424945882766731,0.9604122262428346,clinic
-2.389466217277239,-2.01503699200914,clinic
-1.4149017944400923,-1.7699033579478962,clinic
-1.0586609360991583,0.946459423920602,clinic
-2.9618283588107572,-1.5325994142778505,clinic
-1.8238432406797844,0.12586110595405026,clinic
-2.139339835413322,-1.5585608033668763,clinic
-0.5424945882766731,0.9604122262428346,clinic
-2.389466217277239,-2.01503699200914,clinic
-1.4149017944400923,-1.7699033579478962,clinic
-0.010199514130352945,4.654198282947177,clinic
-0.010199514130352945,4.654198282947177,clinic
8.47171375921769,0.2589388089235229,clinic
6.307449903444166,-1.2058838065638673,clinic
-0.010199514130352945,4.654198282947177,clinic
2.2196053576962336,0.07421532837061669,clinic
0.019895079890038327,0.6634540425997958,clinic
0.47124278070986003,-0.639279560674326,clinic
1.1509223627467529,-1.0951172688791437,clinic
8.106384414391037,-0.5075551234909927,clinic
0.47124278070986003,-0.639279560674326,clinic
1.1509223627467529,-1.0951172688791437,clinic
8.106384414391037,-0.5075551234909927,clinic
-2.543081005091878,-0.13966518505997072,clinic
-1.8776381233510995,-3.105272287598112,clinic
0.47124278070986003,-0.639279560674326,clinic
1.1509223627467529,-1.0951172688791437,clinic
8.106384414391037,-0.5075551234909927,clinic
-2.9947689901156855,-0.8930166948551359,clinic
-3.0442884156090715,-1.3675411037703518,clinic
-2.9050200282730736,-1.885046327452099,clinic
-2.9947689901156855,-0.8930166948551359,clinic
-3.0442884156090715,-1.3675411037703518,clinic
-2.9050200282730736,-1.885046327452099,clinic
-3.2486858081807712,-2.6452534316014154,clinic
-3.253355125832298,-2.274715026972571,clinic
-3.1024313720026355,-2.6608617011198143,clinic
-3.119181172112934,-1.5511492173204164,clinic
-2.9947689901156855,-0.8930166948551359,clinic
-3.0442884156090715,-1.3675411037703518,clinic
-2.9050200282730736,-1.885046327452099,clinic
9.516634660918234,-2.4979486211452127,clinic
10.390361643534941,-2.527698019855243,clinic
0.5957305191909188,-0.22877919842094915,clinic
-1.32181717353167,0.6300336685904563,clinic
10.390361643534941,-2.527698019855243,clinic
0.5957305191909188,-0.22877919842094915,clinic
-1.32181717353167,0.6300336685904563,clinic
8.001515727209904,-0.7089474228041417,clinic
2.9662312638307466,0.8918131628621536,clinic
10.390361643534941,-2.527698019855243,clinic
0.5957305191909188,-0.22877919842094915,clinic
-1.32181717353167,0.6300336685904563,clinic
-0.8309155749697701,-2.603614399464737,clinic
3.0542512355689344,-1.614763219054654,clinic
-0.5666777080731499,-1.1284486052246612,clinic
-1.4068439952486966,-1.2085343808289601,clinic
-1.8137483713686713,-1.304699594557677,clinic
-0.8939276589666807,-2.0957281114798536,clinic
-1.579047748759811,-2.2893330339881732,clinic
-3.0104422273049254,-2.256156040734783,clinic
4.446739478841944,-1.8789085584233516,clinic
3.6413235508003483,-1.306258858834221,clinic
3.6040309987685903,-2.369884755927521,clinic
4.446739478841944,-1.8789085584233516,clinic
