,brs_mean,brs_std,brs_slope,brs_min,brs_max,sdnn_mean,sdnn_std,sdnn_min,sdnn_max,sdnn_slope,rmssd_mean,rmssd_std,rmssd_min,rmssd_max,rmssd_slope,pnn50_mean,pnn50_std,pnn50_min,pnn50_max,pnn50_slope,arv_mean,arv_std,arv_min,arv_max,arv_slope,cv_pa_mean,cv_pa_std,cv_pa_min,cv_pa_max,cv_pa_slope,std_pa_mean,std_pa_std,std_pa_min,std_pa_max,std_pa_slope,rsa_mean,rsa_std,rsa_min,rsa_max,rsa_slope
pnn50_std,0.5760776151388833,0.508424936229005,0.003375768155596696,0.21555291511725747,0.5210820618236772,0.7387053940415398,0.7674643652204455,0.3647996768154414,0.706823912146607,0.014036993960627448,0.7534831261823297,0.7987922326110027,0.39366276302133923,0.7220687657057759,0.04023854467866426,0.7366650533049678,1.0,0.19874426271670198,0.8139014656761472,-0.02357277322207663,0.3265518287210513,0.40384775382993154,0.0903622522388437,0.35770465316009703,-0.048897512899767404,0.35957365879073216,0.26212409615549037,0.10319144091003571,0.27604344524797414,-0.02171794448786641,0.32458314214140044,0.22331801650152316,0.06372216995959909,0.2389258345997797,-0.031953432605247765,0.6891212740527195,0.7137671385553693,0.3516144655409173,0.599788999561761,0.015255414700360041
pnn50_min,0.37276980100696266,0.14652530901651303,0.07963598623954003,0.514002731296254,0.2013744701511613,0.6494981664305131,0.21158822196729474,0.7495986627260325,0.45989045062988904,-0.04979213861200864,0.6538405265170879,0.22330532033775338,0.7524106679972558,0.4806908355088913,-0.014479230235285462,0.7125022254303512,0.19874426271670195,1.0,0.5779361661373553,-0.02150390425229231,0.17817536918575028,0.008249721353612124,0.20180290400285925,0.07017593847109116,-0.019491031017370458,0.22174597693813358,0.03447477950324767,0.24014952288931676,0.0984584622764155,-0.004319665713079809,0.18993691653619077,0.012933663420104472,0.22412359331779838,0.07144919339961597,-0.00437198274237469,0.6640209058787722,0.4140866508558501,0.6717115191291679,0.497898017983431,-0.03145666776892425
pnn50_max,0.6438199602497225,0.49137385298434894,0.06233761618012966,0.4343699332210803,0.526301234428275,0.8901908305542693,0.7254348028727592,0.5798387337564822,0.8419841476497355,0.03297589420700052,0.8982866143219214,0.7529301572174371,0.608616995691515,0.8655413862655302,0.06508033136550025,0.8997363125556161,0.8139014656761471,0.5779361661373553,1.0,0.016744054515634273,0.3226330845419494,0.34660043069363716,0.1601223202748367,0.3516962532908329,-0.04246852371657186,0.3847726096862389,0.2782115813259295,0.18108677735447368,0.31714526146293165,-0.014354466622684844,0.352116407658324,0.24265109922058475,0.1504914409132559,0.2785529268206932,-0.019909224148664886,0.8508981831576232,0.7726729183321563,0.5620736354426247,0.7407050324214939,0.022270701047964636
pnn50_slope,0.0014397406000277852,0.028186105076192194,0.19033973348613722,-0.024265923473548417,0.014978558414454545,-0.02292382043336582,-0.002799574002055327,-0.0017134283613983072,-0.005835704552402918,0.6662700649757967,-0.03039502058239015,-0.021124316312937166,-0.00019542940945476773,-0.024250762934504694,0.726216544726745,-0.011144280038272877,-0.02357277322207663,-0.02150390425229231,0.016744054515634273,1.0,0.06319954097135397,0.03574033916554438,0.023591712362631915,0.03528582851478794,0.08157326675180221,0.06309020467912778,0.03467215702976837,0.037433041748349875,0.033318023836419734,0.06863736474558632,0.04286147571684935,0.02467923537793941,0.03403744502984525,0.015085332599255024,0.06226453834333782,-0.03991420398899089,-0.024833197901024177,0.0031589635295157866,-0.011291561810181781,0.5197130693329254
arv_mean,0.24530577675161042,0.253385850345176,-0.0011650572282373487,-0.04751176325399034,0.2427853747549267,0.3132145619885449,0.3288390650543604,0.2988805589627446,0.3527131414557951,0.03858482400405716,0.29195651504443665,0.2990352959956999,0.3085757716449952,0.32917543810641336,0.06503741362893607,0.31796538319165,0.3265518287210514,0.17817536918575028,0.3226330845419494,0.06319954097135397,0.9999999999999999,0.4326836176236899,0.7616333297090406,0.6307806891970708,0.0006715171576343584,0.9278538559030131,0.14855154113112948,0.7483416620599199,0.40635325381288184,0.0256891340622471,0.9128622976111626,0.11250848446150902,0.7592017290928426,0.3689456521732429,0.025025999121566965,0.31169241319869195,0.3231408547407677,0.2991452067716531,0.35176665727368894,0.018115870705927233
arv_std,0.2836190843083305,0.32456098427123947,-0.005648248855451845,-0.12016093927490462,0.3239385029821753,0.2892907927319942,0.41707324450836414,0.10357587534570808,0.38205562533871884,0.09613198330277581,0.2740963437527059,0.41474793291781425,0.09582866575214866,0.37871305874084926,0.10231711201422497,0.24797257521536215,0.4038477538299315,0.008249721353612122,0.3466004306936372,0.03574033916554438,0.4326836176236899,0.9999999999999999,-0.06052936372821371,0.7996933222302484,-0.052507415317209316,0.5457252885980958,0.7521586368173581,-0.009364126025298838,0.7003445284770676,-0.06795900507710298,0.5399407837535987,0.7149626846068974,-0.03649010701906862,0.6705206494485296,-0.06504304737040062,0.2619359128014765,0.37441293291823224,0.07936698005777502,0.3361491920131585,0.08460943678192136
arv_min,0.08508164820238735,0.06577514259326521,-0.006000977254263754,-0.009019380684379312,0.06126974143767106,0.1662227136717189,0.10611730935760633,0.2508668504861529,0.16564489631684404,-0.01813151231715397,0.15248090535767816,0.07785794103253553,0.2786085400126513,0.14802172739334798,0.011616866400139552,0.2045808456914359,0.09036225223884368,0.20180290400285925,0.1601223202748367,0.023591712362631915,0.7616333297090406,-0.06052936372821371,1.0,0.28374026822890697,0.02115000282985448,0.6168505109072225,-0.19556785927164283,0.9170921552324888,0.1111055017129683,0.04326382658772235,0.6197693140628862,-0.20191827550524258,0.9415018170590742,0.09740187264784299,0.04476178409312715,0.1749776893714218,0.11906240156109747,0.2649622159397756,0.17693787610246992,-0.041772701008776225
arv_max,0.26177045891110673,0.28800746537883914,-0.023559166058138736,-0.12875174191705363,0.29673096516764924,0.3051915711335596,0.376768325149917,0.164367862942791,0.3782102574046121,0.03479869123031316,0.2843753844027592,0.35743857012075836,0.16173785665139798,0.35921621458215863,0.05091966733137404,0.2796816015422936,0.3577046531600971,0.07017593847109117,0.3516962532908329,0.03528582851478793,0.6307806891970706,0.7996933222302482,0.28374026822890697,1.0,-0.035385390856335866,0.6961330259783948,0.6825024860316542,0.2922707895108312,0.8428786658939572,-0.06663930256662325,0.7080435036070707,0.6577982464926792,0.2940983619011399,0.8144032432395067,-0.06508806508740661,0.29321171537736873,0.3529058514352127,0.15895085552986332,0.34457989369980035,0.02954114995318004
arv_slope,-0.03337319264526501,-0.03479663165972476,-0.004752767676187456,-0.10621281440522937,-0.022606805909944988,-0.030030129446938662,-0.025107131078233594,-0.04559422821049417,-0.012622971069154706,0.15655657605451295,-0.03147462177171193,-0.027192319637799868,-0.05080174774269582,-0.014424450430601842,0.14189058925006792,-0.04209640539843774,-0.048897512899767404,-0.019491031017370455,-0.04246852371657186,0.08157326675180221,0.0006715171576343584,-0.052507415317209316,0.021150002829854485,-0.035385390856335866,0.9999999999999999,-0.003929714525679536,-0.02839241296234845,0.01375928361087853,-0.014069333925755228,0.7321445878772335,0.011517852580686378,-0.020585263207907253,0.020576838990706236,-0.003374118231473425,0.7222984188851382,-0.01694808020114301,-0.0061489729596849885,-0.04556443770072981,-0.015150535874913164,0.14533836809797226
cv_pa_mean,0.27502278011213976,0.28003913869885644,0.0005068619439672279,-0.04393945074162463,0.2840262835322836,0.384521374867285,0.3837097057249343,0.35168043438539454,0.41836448571119866,0.050959848828680425,0.36734943703711154,0.3589471676110204,0.35755800414545197,0.39870532470534203,0.07412517057425196,0.38307229780751245,0.3595736587907322,0.22174597693813355,0.38477260968623883,0.06309020467912778,0.9278538559030131,0.5457252885980958,0.6168505109072225,0.6961330259783947,-0.003929714525679536,0.9999999999999999,0.333572096903322,0.6638580526913596,0.5543988914394543,0.01396510022300674,0.9663928474950567,0.2759464451976697,0.6572255495387817,0.49534643816149126,0.013065348140815537,0.38187129733329805,0.39129103465356674,0.35111592729162056,0.40518129217287463,0.0362325950858084
