event_type,curve,fpr,tpr,auc
hypotension,clinic_apparent,0.0,0.0,0.7505050505050506
hypotension,clinic_apparent,0.0,0.015151515151515152,0.7505050505050506
hypotension,clinic_apparent,0.0,0.045454545454545456,0.7505050505050506
hypotension,clinic_apparent,0.0011299435028248588,0.045454545454545456,0.7505050505050506
hypotension,clinic_apparent,0.0011299435028248588,0.10606060606060606,0.7505050505050506
hypotension,clinic_apparent,0.007909604519774011,0.10606060606060606,0.7505050505050506
hypotension,clinic_apparent,0.007909604519774011,0.13636363636363635,0.7505050505050506
hypotension,clinic_apparent,0.00903954802259887,0.13636363636363635,0.7505050505050506
hypotension,clinic_apparent,0.00903954802259887,0.22727272727272727,0.7505050505050506
hypotension,clinic_apparent,0.013559322033898305,0.22727272727272727,0.7505050505050506
hypotension,clinic_apparent,0.013559322033898305,0.24242424242424243,0.7505050505050506
hypotension,clinic_apparent,0.015819209039548022,0.24242424242424243,0.7505050505050506
hypotension,clinic_apparent,0.015819209039548022,0.2727272727272727,0.7505050505050506
hypotension,clinic_apparent,0.015819209039548022,0.30303030303030304,0.7505050505050506
hypotension,clinic_apparent,0.020338983050847456,0.30303030303030304,0.7505050505050506
hypotension,clinic_apparent,0.020338983050847456,0.3181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.05649717514124294,0.3181818181818182,0.7505050505050506
hypotension,clinic_apparent,0.05649717514124294,0.3484848484848485,0.7505050505050506
hypotension,clinic_apparent,0.07005649717514124,0.3484848484848485,0.7505050505050506
hypotension,clinic_apparent,0.07005649717514124,0.3787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.07570621468926554,0.3787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.07796610169491526,0.3787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.08135593220338982,0.3787878787878788,0.7505050505050506
hypotension,clinic_apparent,0.08135593220338982,0.4090909090909091,0.7505050505050506
hypotension,clinic_apparent,0.0847457627118644,0.4090909090909091,0.7505050505050506
hypotension,clinic_apparent,0.08926553672316384,0.4090909090909091,0.7505050505050506
