event_type,lead_min,n_events,n_controls,auc
hypotension,0,88,483,0.5313146997929606
hypotension,5,84,483,0.5127920733510796
hypotension,15,81,483,0.505814993737699
hypotension,30,80,483,0.49218426501035195
hypertension,0,64,483,0.7696363871635611
hypertension,5,60,483,0.7677018633540371
hypertension,15,56,483,0.7331410825199645
hypertension,30,51,483,0.7688466691024236
